City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,maamba,-17.3667,27.15,16.07,48,0,1.28,ZM,1717645882
353,san pedro pochutla,15.7333,-96.4667,26.22,73,100,2.95,MX,1717645883
354,arkhangel'sk,64.5401,40.5433,10.07,93,75,4.0,RU,1717645614
355,lagoa,39.05,-27.9833,16.85,72,78,10.07,PT,1717645883
356,midvagur,62.0511,-7.1939,4.46,81,75,4.63,FO,1717645883
357,novyy turtkul',41.55,61.0167,25.95,13,67,4.37,UZ,1717645883
358,kodinsk,58.6881,99.1844,13.02,35,92,4.41,RU,1717645883
359,papao,-17.75,-149.55,27.82,79,93,6.61,PF,1717645883
360,taltal,-25.4,-70.4833,15.42,85,63,0.11,CL,1717645884
361,dalandzadgad,43.5708,104.425,24.55,8,79,4.55,MN,1717645884
